	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00720	383.270014048938	0.165308518971775	0.194183107541533	0.851302263439257	0.394601467911331	0.858096669305823
FGBKPADF_00721	2980.31065835832	0.0410414195256717	0.0587580375760296	0.698481794470526	0.484875939366982	0.881364668067196
FGBKPADF_00722	1911.38663678234	0.0777927674658915	0.0793542146461437	0.980323071846719	0.32692666950531	0.819100872941212
FGBKPADF_00723	89.9675103604322	0.0491334997718292	0.238978011892746	0.205598412099438	0.837104617989907	NA
FGBKPADF_00724	48.8725522149513	0.421873312868203	0.29096820134355	1.44989490576701	0.147087828149203	NA
FGBKPADF_00725	654.339697859867	0.142469058962414	0.128705331961164	1.10693983529294	0.268319941511262	0.789018816905168
FGBKPADF_00726	450.637738282694	-0.0668830533538715	0.131407324898325	-0.508975077345356	0.610769693530818	0.925490587219363
FGBKPADF_00727	4549.42475735367	0.288038223124437	0.0666902803728145	4.31904351749963	1.56706882709272e-05	0.00293773169452314
FGBKPADF_00728	10898.3602167929	0.0564331604302207	0.0962072789671019	0.586578905838487	0.557486553168734	0.912469179639351
FGBKPADF_00729	7993.94166864648	-0.0115193484688553	0.100567812084144	-0.114543095152723	0.908807286187204	0.987909484274412
FGBKPADF_00730	6525.08822240187	0.00994878821185334	0.0568167262538151	0.175103158309571	0.86099857664117	0.982999592982123
FGBKPADF_00731	848.582645745938	-0.0491779885329532	0.0924067241801594	-0.532190584281227	0.594594003616344	0.920701103782763
FGBKPADF_00732	47.8497796108428	-0.151502356488866	0.325202560869058	-0.465870736331217	0.641308028898637	NA
FGBKPADF_00733	265.660552887264	0.0415213849487617	0.138692913570311	0.299376398403457	0.76465286818939	NA
FGBKPADF_00734	806.185988658959	-0.182426853133233	0.099407644987683	-1.83513906959406	0.0664850863262527	0.505286656079521
FGBKPADF_00735	2436.43357528569	-0.109061997651481	0.0760100724309589	-1.43483612320648	0.151333801541674	0.678314876959581
FGBKPADF_00736	115.218622921578	0.0757464543756595	0.231288235256326	0.327498086064401	0.743291190322486	NA
FGBKPADF_00737	2489.94331892005	-0.000602396453096177	0.215114611568024	-0.00280035116492161	0.997765645960971	0.999825667664827
FGBKPADF_00738	10380.3182556238	0.151320568939814	0.126540911462194	1.19582328901608	0.231765525637877	0.766734891874954
FGBKPADF_00739	19801.425102809	0.052951873325002	0.0740927491921223	0.714670111480112	0.47481291048868	0.878686880350253
FGBKPADF_00740	7404.15230838812	0.0416087203168478	0.0776150674737751	0.53609075751827	0.591895827484233	0.920701103782763
FGBKPADF_00741	18271.2670536378	0.0795398097644641	0.0677439663442374	1.17412389703146	0.240345402908256	0.772974481120643
FGBKPADF_00742	21408.8530526357	0.0610281479424049	0.0634550715578162	0.961753669867033	0.336173355712941	0.819312642416016
FGBKPADF_00743	771.906892562731	-0.0647193722336838	0.0865169801844498	-0.748053990045715	0.454427592605975	0.872929230773865
FGBKPADF_00744	11620.2421464613	-0.143160053101803	0.0664107748605541	-2.1556750904112	0.0311090445567353	0.373799448342045
FGBKPADF_00745	1166.02433819313	-0.192791495851874	0.111114791408082	-1.73506599264381	0.0827291169823452	0.533964827210859
FGBKPADF_00746	1640.74302988057	-0.0841166945885966	0.0639037220326564	-1.31630352525649	0.188072188126505	0.717300799332155
FGBKPADF_00747	101.46803447416	0.234983732876397	0.219967364147501	1.0682663484517	0.285400383557071	NA
FGBKPADF_00748	437.131365068142	-0.0931054522395015	0.10869801625038	-0.856551531032896	0.391692782226612	0.858096669305823
FGBKPADF_00749	1399.1500164396	0.0475520450410255	0.116159707878737	0.409367808419995	0.682269760178322	0.944965247248429
FGBKPADF_00750	486.886195754962	0.155700233855212	0.127179913374309	1.22425176841381	0.220857265586217	0.758280475828844
FGBKPADF_00751	1178.99639128791	0.00829272253924481	0.103604707755982	0.0800419471166937	0.936203894000716	0.991655835514944
FGBKPADF_00752	702.949979208333	-0.118849391200614	0.117281899981092	-1.01336515881627	0.31088577487379	0.81577124963076
FGBKPADF_00753	348.992967105714	-0.0729535078822821	0.141589220049572	-0.515247614590577	0.606380000237961	0.925490587219363
FGBKPADF_00754	940.093744035972	-0.0268135373423332	0.0877192539247709	-0.305674480146957	0.75985250573188	0.963488581734396
FGBKPADF_00755	6904.7645215475	-0.156950289804838	0.108156466849857	-1.45114105865456	0.146740585468008	0.673139520939702
FGBKPADF_00756	1980.86400082603	-0.243477684978025	0.154569506136034	-1.57519869904834	0.11521058740691	0.627853046101223
FGBKPADF_00757	955.921315050997	-0.350960171847827	0.167662780275771	-2.09325034018026	0.0363268131238067	0.400593455809082
FGBKPADF_00758	1139.95617598801	-0.0591526151675937	0.0924032488211435	-0.640157309642759	0.522070333676919	0.896252611904454
FGBKPADF_00759	497.180585553977	0.254799179324272	0.16320636476873	1.56120859431758	0.118474541863232	0.630414256865904
FGBKPADF_00760	183.810544629554	0.429255082715047	0.169425305315554	2.53359486008045	0.0112899178013438	NA
FGBKPADF_00761	536.332665469843	0.22686351349965	0.119539863422661	1.89780636353516	0.0577215946400351	0.48451678844113
FGBKPADF_00762	201.416431679202	0.31917845557926	0.161992576884923	1.97032766387808	0.0488008299152115	NA
FGBKPADF_00763	3394.53503239085	0.00404807112282461	0.0597345544138059	0.0677676624953449	0.945970586153133	0.995372247398838
FGBKPADF_00764	1698.82590478147	-0.0475267779786916	0.0649406875489713	-0.731849011343651	0.464260730577165	0.875636522163509
FGBKPADF_00765	291.041418169103	-0.137491538789729	0.141141837054439	-0.974137375983691	0.329988333716512	NA
FGBKPADF_00766	196.785620446543	0.0151670360739882	0.173584790566412	0.0873753744466766	0.930373142848441	NA
FGBKPADF_00767	13.8016729236095	-0.388069824088442	0.581113374076405	-0.667803980084304	0.504258725641749	NA
FGBKPADF_00768	423.751784533245	-0.0760932816385684	0.115174159431802	-0.660680156156254	0.508817452346227	0.890558201496632
FGBKPADF_00769	3200.62915649956	0.0412220450097128	0.0627699158182431	0.656716589027705	0.511363165717035	0.891477508987168
FGBKPADF_00770	4053.71417381914	0.151982031950437	0.0609189902498469	2.49482191558188	0.012602035904638	0.234335161626536
FGBKPADF_00771	12593.4551521287	0.0321249717047669	0.0661748389954573	0.485455985876629	0.627352926941154	0.930724332955437
FGBKPADF_00772	4030.22536595936	0.0522052217014289	0.0563709855982622	0.92610092137609	0.354393535214286	0.829577938076642
FGBKPADF_00774	1758.01398054511	0.0450545530198478	0.0683932101458667	0.658757688427798	0.510051381692745	0.890558201496632
FGBKPADF_00775	619.704725271185	0.0588395115167985	0.128761099216869	0.456966520747828	0.647695109521301	0.930724332955437
FGBKPADF_00776	438.79011286919	0.0307819229097074	0.126087082880017	0.244132247384922	0.807128398197425	0.96858543947124
FGBKPADF_00777	359.135704768247	-0.0868378437502599	0.138955655143008	-0.624932059518482	0.532015649872544	0.899055292933649
FGBKPADF_00778	196.92431456112	0.104695682458456	0.156287475938637	0.669891696885317	0.502926833145164	NA
FGBKPADF_00779	2158.24926901036	-0.0682917084811459	0.0650737417100049	-1.04945107944586	0.293970559547177	0.804357122274287
FGBKPADF_00780	3451.67525474591	-0.187918195082237	0.0684096368542987	-2.74695501574539	0.00601513840769542	0.172597644922852
FGBKPADF_00781	257.61013754517	-0.117768228039888	0.15263684283524	-0.771558333180473	0.440376060535183	NA
FGBKPADF_00782	351.911481427552	-0.0166171346416733	0.134681652401798	-0.123380834325518	0.901805533099904	0.986712865672755
